English|Sanskrit
haikyuu..also known as volleyball.|हैक्यू इत्युक्ते अपातकन्दुकक्रीडा
Two teams separated by a net bounce a ball back and forth between each other.|जालेन पृथक्कृतयोः उभयोः सतोः कन्दुकं परस्परं पुरतः पृष्ठतः दले अभ्युत्प्लवतः।
The ball is not allowed to touch the floor.|भूमिं मा स्पृशेत् कन्दुकम्।
It cannot be carried.|मा उह्येत अपि।
Once it is in the air...|कन्दुके व्योम्नि सति...
...a team has no more than 3 touches...|...त्रिभ्यः अधिकवारं स्पर्शस्य अधिकारं कस्मैचन दलाय न...
...to connect...|...सम्बन्धुम्...
...and take the ball from receive to attack...|...आदानात् प्रेषणेन सह कन्दुकम्...
A wall looms in front of me.|पुरतः भित्तिः दृश्यते।
A tall, tall wall...|अत्युन्नता भित्तिः।
What's the view like over that wall?|भित्तेः उपरि किं दृश्यम्?
The view from the top.|उपरितनात् दृश्यम्।
It's something I could never, ever see on my own.|स्वयं द्रष्टुं कदापि न शक्तवान् अहम्
